werkzeug - WARNING -  * Debugger is active!
werkzeug - INFO -  * Debugger PIN: 589-744-875
werkzeug - INFO - 127.0.0.1 -werkzeug - INFO -  * Restarting with stat
werkzeug - INFO -  * Restarting with stat
rkzeug - INFO - 127.0.0.1 - - [29/Jan/2020 14:23:01] "POST /home/buttonclick HTTP/1.1" 200 -
werkzeug - INFO -  * Detected change in '/home/necuser/Downloads/flask_pro1/blue/utility/utility.py', reloading
2020-01-29 14:32:29,281 - example_logger - DEBUG - test logging qqq 
2020-01-29 14:33:13,911 - example_logger - DEBUG - test logging qqq 
2020-01-29 14:33:40,539 - example_logger - DEBUG - test logging qqq 
2020-01-29 14:33:40,539 - example_logger - DEBUG - test logging qqq 
2020-01-29 14:36:13,358 - Sandbox - DEBUG - b'run.py\n'
2020-01-29 14:36:15,191 - Sandbox - DEBUG - b'sandbox.log\n'
2020-01-29 14:36:15,191 - Sandbox - DEBUG - b'sandbox.log\n'
2020-01-29 14:36:16,456 - Sandbox - DEBUG - b'sandbox.log\n'
2020-01-29 14:36:16,456 - Sandbox - DEBUG - b'sandbox.log\n'
2020-01-29 14:36:16,456 - Sandbox - DEBUG - b'sandbox.log\n'
2020-01-29 14:37:43,829 - Sandbox - DEBUG - sandbox.log

2020-01-29 14:37:43,829 - Sandbox - DEBUG - sandbox.log

2020-01-29 14:37:43,829 - Sandbox - DEBUG - <Request 'http://127.0.0.1:5000/home/buttonclick' [POST]>
2020-01-29 14:37:43,829 - Sandbox - DEBUG - <Request 'http://127.0.0.1:5000/home/buttonclick' [POST]>
2020-01-29 14:37:44,684 - Sandbox - DEBUG - sandbox.log

2020-01-29 14:37:44,684 - Sandbox - DEBUG - sandbox.log

2020-01-29 14:37:44,684 - Sandbox - DEBUG - sandbox.log

2020-01-29 14:37:44,685 - Sandbox - DEBUG - <Request 'http://127.0.0.1:5000/home/buttonclick' [POST]>
2020-01-29 14:37:44,685 - Sandbox - DEBUG - <Request 'http://127.0.0.1:5000/home/buttonclick' [POST]>
2020-01-29 14:37:44,685 - Sandbox - DEBUG - <Request 'http://127.0.0.1:5000/home/buttonclick' [POST]>
2020-01-29 15:18:11,713 - Sandbox - DEBUG - sandbox.log

2020-01-29 15:18:11,713 - Sandbox - DEBUG - sandbox.log

2020-01-29 15:18:11,713 - Sandbox - DEBUG - <Request 'http://127.0.0.1:5000/home/buttonclick' [POST]>
2020-01-29 15:18:11,713 - Sandbox - DEBUG - <Request 'http://127.0.0.1:5000/home/buttonclick' [POST]>
2020-01-29 15:18:16,888 - Sandbox - DEBUG - sandbox.log

2020-01-29 15:18:16,888 - Sandbox - DEBUG - sandbox.log

2020-01-29 15:18:16,888 - Sandbox - DEBUG - sandbox.log

2020-01-29 15:18:16,888 - Sandbox - DEBUG - <Request 'http://127.0.0.1:5000/home/buttonclick' [POST]>
2020-01-29 15:18:16,888 - Sandbox - DEBUG - <Request 'http://127.0.0.1:5000/home/buttonclick' [POST]>
2020-01-29 15:18:16,888 - Sandbox - DEBUG - <Request 'http://127.0.0.1:5000/home/buttonclick' [POST]>
2020-01-29 15:18:47,393 - Sandbox - DEBUG - sandbox.log

2020-01-29 15:18:47,393 - Sandbox - DEBUG - sandbox.log

2020-01-29 15:18:47,393 - Sandbox - DEBUG - sandbox.log

2020-01-29 15:18:47,393 - Sandbox - DEBUG - sandbox.log

2020-01-29 15:18:47,394 - Sandbox - DEBUG - <Request 'http://127.0.0.1:5000/home/buttonclick' [POST]>
2020-01-29 15:18:47,394 - Sandbox - DEBUG - <Request 'http://127.0.0.1:5000/home/buttonclick' [POST]>
2020-01-29 15:18:47,394 - Sandbox - DEBUG - <Request 'http://127.0.0.1:5000/home/buttonclick' [POST]>
2020-01-29 15:18:47,394 - Sandbox - DEBUG - <Request 'http://127.0.0.1:5000/home/buttonclick' [POST]>
2020-01-29 15:19:17,785 - Sandbox - DEBUG - sandbox.log

2020-01-29 15:19:17,785 - Sandbox - DEBUG - sandbox.log

2020-01-29 15:19:17,785 - Sandbox - DEBUG - sandbox.log

2020-01-29 15:19:17,785 - Sandbox - DEBUG - sandbox.log

2020-01-29 15:19:17,785 - Sandbox - DEBUG - sandbox.log

2020-01-29 15:19:17,787 - Sandbox - DEBUG - <Request 'http://127.0.0.1:5000/home/buttonclick' [POST]>
2020-01-29 15:19:17,787 - Sandbox - DEBUG - <Request 'http://127.0.0.1:5000/home/buttonclick' [POST]>
2020-01-29 15:19:17,787 - Sandbox - DEBUG - <Request 'http://127.0.0.1:5000/home/buttonclick' [POST]>
2020-01-29 15:19:17,787 - Sandbox - DEBUG - <Request 'http://127.0.0.1:5000/home/buttonclick' [POST]>
2020-01-29 15:19:17,787 - Sandbox - DEBUG - <Request 'http://127.0.0.1:5000/home/buttonclick' [POST]>
2020-01-29 15:20:14,026 - Sandbox - DEBUG - sandbox.log

2020-01-29 15:20:14,026 - Sandbox - DEBUG - sandbox.log

2020-01-29 15:20:14,026 - Sandbox - DEBUG - sandbox.log

2020-01-29 15:20:14,026 - Sandbox - DEBUG - sandbox.log

2020-01-29 15:20:14,026 - Sandbox - DEBUG - sandbox.log

2020-01-29 15:20:14,026 - Sandbox - DEBUG - sandbox.log

2020-01-29 15:20:14,026 - Sandbox - DEBUG - <Request 'http://127.0.0.1:5000/home/buttonclick' [POST]>
2020-01-29 15:20:14,026 - Sandbox - DEBUG - <Request 'http://127.0.0.1:5000/home/buttonclick' [POST]>
2020-01-29 15:20:14,026 - Sandbox - DEBUG - <Request 'http://127.0.0.1:5000/home/buttonclick' [POST]>
2020-01-29 15:20:14,026 - Sandbox - DEBUG - <Request 'http://127.0.0.1:5000/home/buttonclick' [POST]>
2020-01-29 15:20:14,026 - Sandbox - DEBUG - <Request 'http://127.0.0.1:5000/home/buttonclick' [POST]>
2020-01-29 15:20:14,026 - Sandbox - DEBUG - <Request 'http://127.0.0.1:5000/home/buttonclick' [POST]>
2020-01-29 15:20:48,679 - Sandbox - DEBUG - sandbox.log

2020-01-29 15:20:48,679 - Sandbox - DEBUG - sandbox.log

2020-01-29 15:20:48,679 - Sandbox - DEBUG - sandbox.log

2020-01-29 15:20:48,679 - Sandbox - DEBUG - sandbox.log

2020-01-29 15:20:48,679 - Sandbox - DEBUG - sandbox.log

2020-01-29 15:20:48,679 - Sandbox - DEBUG - sandbox.log

2020-01-29 15:20:48,679 - Sandbox - DEBUG - sandbox.log

2020-01-29 15:20:48,680 - Sandbox - DEBUG - <Request 'http://127.0.0.1:5000/home/buttonclick' [POST]>
2020-01-29 15:20:48,680 - Sandbox - DEBUG - <Request 'http://127.0.0.1:5000/home/buttonclick' [POST]>
2020-01-29 15:20:48,680 - Sandbox - DEBUG - <Request 'http://127.0.0.1:5000/home/buttonclick' [POST]>
2020-01-29 15:20:48,680 - Sandbox - DEBUG - <Request 'http://127.0.0.1:5000/home/buttonclick' [POST]>
2020-01-29 15:20:48,680 - Sandbox - DEBUG - <Request 'http://127.0.0.1:5000/home/buttonclick' [POST]>
2020-01-29 15:20:48,680 - Sandbox - DEBUG - <Request 'http://127.0.0.1:5000/home/buttonclick' [POST]>
2020-01-29 15:20:48,680 - Sandbox - DEBUG - <Request 'http://127.0.0.1:5000/home/buttonclick' [POST]>
2020-01-29 15:21:59,405 - Sandbox - DEBUG - sandbox.log

2020-01-29 15:21:59,405 - Sandbox - DEBUG - sandbox.log

2020-01-29 15:21:59,405 - Sandbox - DEBUG - sandbox.log

2020-01-29 15:21:59,405 - Sandbox - DEBUG - sandbox.log

2020-01-29 15:21:59,405 - Sandbox - DEBUG - sandbox.log

2020-01-29 15:21:59,405 - Sandbox - DEBUG - sandbox.log

2020-01-29 15:21:59,405 - Sandbox - DEBUG - sandbox.log

2020-01-29 15:21:59,405 - Sandbox - DEBUG - sandbox.log

2020-01-29 15:21:59,406 - Sandbox - DEBUG - <Request 'http://127.0.0.1:5000/home/buttonclick' [POST]>
2020-01-29 15:21:59,406 - Sandbox - DEBUG - <Request 'http://127.0.0.1:5000/home/buttonclick' [POST]>
2020-01-29 15:21:59,406 - Sandbox - DEBUG - <Request 'http://127.0.0.1:5000/home/buttonclick' [POST]>
2020-01-29 15:21:59,406 - Sandbox - DEBUG - <Request 'http://127.0.0.1:5000/home/buttonclick' [POST]>
2020-01-29 15:21:59,406 - Sandbox - DEBUG - <Request 'http://127.0.0.1:5000/home/buttonclick' [POST]>
2020-01-29 15:21:59,406 - Sandbox - DEBUG - <Request 'http://127.0.0.1:5000/home/buttonclick' [POST]>
2020-01-29 15:21:59,406 - Sandbox - DEBUG - <Request 'http://127.0.0.1:5000/home/buttonclick' [POST]>
2020-01-29 15:21:59,406 - Sandbox - DEBUG - <Request 'http://127.0.0.1:5000/home/buttonclick' [POST]>
